date,store_name,store_id,device_id,gps_location
1609768750000,Rewe,place_183,9907,POINT (13.5295252 52.4514644)
1609741599000,Kaufland,place_215,53397,POINT (13.2185975 52.5377132)
1609756762000,Rewe,place_201,15700,POINT (13.3084803 52.61769150000001)
1609756779000,Rewe,place_201,15700,POINT (13.3085108 52.61769690000001)
1609768622000,Rewe,place_193,23378,POINT (13.406156 52.353202)
1609767715000,Rewe,place_193,53250,POINT (13.4062371 52.3534162)
1609775298000,Rewe,place_189,23689,POINT (13.4812125 52.5274186)
1609773052000,Kaufland,place_220,15075,POINT (13.3119749 52.4231785)
1609761027000,Rewe,place_183,4199,POINT (13.5299458 52.4515049)
1609744522000,Aldi,place_108,77365,POINT (13.4346954 52.3583665)
1609772380000,Kaufland,place_223,9036,POINT (13.504706 52.548145)
1609749597000,Aldi,place_99,5811,POINT (13.4221565 52.4190077)
1609768615000,Rewe,place_151,20436,POINT (13.3950528 52.4648799)
1609754339000,Rewe,place_212,19297,POINT (13.4970055 52.5187802)
1609773036000,Kaufland,place_220,15075,POINT (13.3119913 52.4231584)
1609735501000,Rewe,place_193,53250,POINT (13.40618 52.35334)
1609756801000,Rewe,place_201,15700,POINT (13.3084915 52.61766020000001)
1609761918000,Kaufland,place_225,8748,POINT (13.3675166 52.4618595)
1609775044000,Burger King,place_35,76740,POINT (13.5148574 52.4524544)
1609774055000,McDonald's,place_27,20886,POINT (13.4695876 52.50376)
1609764325000,Kaufland,place_225,27224,POINT (13.3679124 52.4621811)
1609761052000,Kaufland,place_225,27224,POINT (13.3675209 52.4612456)
1609761163000,Rewe,place_162,61715,POINT (13.49927 52.43994)
1609762243000,Aldi,place_58,36856,POINT (13.484251 52.52250160000001)
1609767649000,Rewe,place_179,32256,POINT (13.56899 52.52829000000001)
1609759877000,Rewe,place_161,37002,POINT (13.508525 52.450748)
1609724095000,Rewe,place_210,61577,POINT (13.2241889 52.4130286)
1609779668000,Kaufland,place_213,72561,POINT (13.3288088 52.5676644)
1609754866000,Kaufland,place_224,59317,POINT (13.18559 52.52119)
1609756870000,Rewe,place_204,36662,POINT (13.2916004 52.5831233)
1609762570000,McDonald's,place_6,35466,POINT (13.2378096 52.3949812)
1609759704000,Rewe,place_159,28596,POINT (13.3650876 52.5719329)
1609763868000,Aldi,place_114,39161,POINT (13.2257093 52.6269226)
1609778319000,Kaufland,place_213,72561,POINT (13.3285609 52.5676266)
1609760962000,Rewe,place_176,37415,POINT (13.2613468 52.487364)
1609792122000,Rewe,place_138,31613,POINT (13.544347 52.677086)
1609762685000,Rewe,place_191,26313,POINT (13.52891 52.62951)
1609772608000,Rewe,place_182,25342,POINT (13.4292224 52.607062)
1609766299000,Kaufland,place_215,37767,POINT (13.2192877 52.5381583)
1609778743000,Kaufland,place_213,72561,POINT (13.3282946 52.5677905)
1609767367000,Kaufland,place_213,25697,POINT (13.328926 52.567745)
1609742931000,Aldi,place_87,25419,POINT (13.3620884 52.4518697)
1609779283000,Lexus,place_245,34713,POINT (13.519893 52.52644599999999)
1609755593000,Kaufland,place_218,36822,POINT (13.24063 52.39651)
1609765118000,Kaufland,place_223,42934,POINT (13.50558 52.54825)
1609759897000,Rewe,place_161,37002,POINT (13.50844 52.450707)
1609728602000,Rewe,place_210,61577,POINT (13.2241889 52.4130286)
1609742911000,Kaufland,place_215,39645,POINT (13.21858 52.5377)
1609739969000,Aldi,place_79,35578,POINT (13.27109 52.43914)
1609755680000,Rewe,place_204,36662,POINT (13.2913377 52.58301779999999)
1609761725000,Rewe,place_160,79721,POINT (13.338825 52.588863)
1609756952000,Rewe,place_146,42619,POINT (13.5783604 52.5501259)
1609778952000,Kaufland,place_213,41640,POINT (13.32865 52.56766)
1609753177000,Kaufland,place_215,41882,POINT (13.2194 52.53811999999999)
1609760077000,Rewe,place_161,37002,POINT (13.508456 52.450707)
1609746997000,Kaufland,place_219,25774,POINT (13.3349495 52.60345770000001)
1609776389000,Aldi,place_85,42323,POINT (13.53504 52.52513)
1609761470000,Rewe,place_179,32256,POINT (13.5689 52.52828)
1609758369000,Kaufland,place_219,32972,POINT (13.3349565 52.6035142)
1609758209000,Kaufland,place_225,27224,POINT (13.3675952 52.46148620000001)
1609759798000,Rewe,place_161,37002,POINT (13.508475 52.45069599999999)
1609757003000,Kaufland,place_213,38591,POINT (13.3283308 52.5674819)
1609758746000,Rewe,place_210,24654,POINT (13.223733 52.413094)
1609769083000,Aldi,place_93,57675,POINT (13.178119 52.5176063)
1609785712000,Kaufland,place_224,25424,POINT (13.186184 52.52112)
1609758143000,Aldi,place_98,32447,POINT (13.33783 52.45613)
1609765261000,Aldi,place_58,40652,POINT (13.4842239 52.5226083)
1609790117000,Rewe,place_159,26817,POINT (13.36549 52.57174000000001)
1609781123000,Aldi,place_75,31492,POINT (13.523727 52.405613)
1609739448000,Subway,place_53,81913,POINT (13.1980986 52.5342668)
1609760214000,Rewe,place_160,61490,POINT (13.339009 52.58866999999999)
