date,store_name,store_id,unique_visits,total_signals,addidas,apple,bmw,employed,female,high_income,honda,h_&_m,job_seeking,low_income,male,mercedes-benz,middle_income,retired,student,tommy_helfinger
2021-01-02,Aldi,place_106,3,3,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,1
2021-01-02,Aldi,place_107,5,22,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1
2021-01-02,Aldi,place_108,4,5,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1
2021-01-02,Aldi,place_109,5,50,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1
2021-01-02,Aldi,place_111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_113,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_114,4,9,1,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2
2021-01-02,Aldi,place_116,4,9,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1
2021-01-02,Aldi,place_118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_119,4,16,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1
2021-01-02,Aldi,place_121,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
2021-01-02,Aldi,place_122,3,16,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2
2021-01-02,Aldi,place_123,7,26,1,1,2,1,1,2,2,1,1,2,1,1,2,1,2,2
2021-01-02,Aldi,place_124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_126,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_127,2,3,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1
2021-01-02,Aldi,place_128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_129,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_130,5,24,2,1,2,1,1,2,1,2,1,2,1,2,2,1,2,2
2021-01-02,Aldi,place_132,2,48,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_135,9,17,1,2,1,1,1,2,2,1,1,2,1,2,2,1,1,1
2021-01-02,Aldi,place_136,2,3,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
2021-01-02,Aldi,place_55,3,7,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_58,3,6,1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1
2021-01-02,Aldi,place_59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_60,2,4,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1
2021-01-02,Aldi,place_61,4,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2
2021-01-02,Aldi,place_62,4,8,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1
2021-01-02,Aldi,place_64,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2
2021-01-02,Aldi,place_65,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_67,5,12,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1
2021-01-02,Aldi,place_69,3,18,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1
2021-01-02,Aldi,place_70,2,4,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1
2021-01-02,Aldi,place_73,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_74,3,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2021-01-02,Aldi,place_79,5,14,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1,1
