date,store_name,store_id,device_id,gps_location,addidas,apple,bmw,employed,female,high_income,honda,h_&_m,job_seeking,low_income,male,mercedes-benz,middle_income,retired,student,tommy_helfinger
2021-01-05,Rewe,place_193,4769,POINT (13.40618 52.35336),0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
2021-01-05,Rewe,place_205,1926,POINT (13.6142 52.5119),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_215,66053,POINT (13.2196653 52.5384431),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Aldi,place_135,49250,POINT (13.578374 52.566577),0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2021-01-04,Aldi,place_135,44034,POINT (13.577939 52.566663),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-04,Kaufland,place_223,44296,POINT (13.5055754 52.5482059),0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_196,6621,POINT (13.43507 52.509514),1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_205,1926,POINT (13.61413 52.51188000000001),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,McDonald's,place_15,84543,POINT (13.18657 52.40304),0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_205,1926,POINT (13.61427 52.5119),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_194,12089,POINT (13.481838 52.512098),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2021-01-05,Rewe,place_194,8120,POINT (13.4817638 52.5120671),0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
2021-01-05,Aldi,place_135,53583,POINT (13.5784 52.5666),1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Kaufland,place_213,49567,POINT (13.3285497 52.56778320000001),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_193,53250,POINT (13.40624 52.35334),0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
2021-01-05,Rewe,place_193,53250,POINT (13.4062131 52.3533847),0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
2021-01-04,Aldi,place_124,49253,POINT (13.51449 52.64058000000001),0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Kaufland,place_223,44296,POINT (13.5046704 52.548451),0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Kaufland,place_223,3230,POINT (13.5047769 52.5483152),0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2021-01-04,Aldi,place_135,49250,POINT (13.578366 52.566541),0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
2021-01-04,Kaufland,place_217,43739,POINT (13.3740683 52.5589176),0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2021-01-04,Rewe,place_159,82052,POINT (13.365263 52.571902),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_148,7968,POINT (13.5219751 52.49825799999999),0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-04,Aldi,place_54,49753,POINT (13.55671 52.681),0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,McDonald's,place_2,4948,POINT (13.468382 52.54709200000001),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021-01-05,Rewe,place_183,65852,POINT (13.5299306 52.4515206),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
